,originalTitle,director,startYear,runtimeMinutes,genre1,genre2,genre3,overview,popularity,ID
0,Caroline chérie,Richard Pottier,1951,115,Comédie,,,"France, juillet 1782. Le jour de son anniversaire, la belle jeune marquise Caroline rencontre le séduisant soldat Gaston. C'est le coup de foudre mais Gaston ne souhaite pas s'engager car une carrière militaire l'attend. Caroline épouse alors un homme politique mais la Révolution française éclate et Caroline doit s'enfuir pour échapper à la guillotine. En s'enfuyant elle retrouve Gaston qui décide de l'aider.",0.693,https://m.media-amazon.com/images/M/MV5BZWRhNDliMjEtNDFjZC00MmFlLTk0NDItN2YxNTg4OTcxZWUxXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_.jpg
1,Journal d'un curé de campagne,Robert Bresson,1951,95,Drame,,,"Un prêtre inexpérimenté et maladif débarque dans la communauté rurale française d'Ambricourt, où il rejoint le clergé de la communauté. Mais les habitants n'apprécient pas le prêtre, et ses manières ascétiques et son comportement insociable font de lui un paria. Pendant ses études bibliques à l’école de filles voisine, ses élèves se moquent continuellement de lui. Puis sa tentative d’intervenir dans une querelle familiale se retourne contre lui et se transforme en scandale. Ses échecs, ajoutés à sa santé déclinante, commencent à éroder sa foi.",4.72,https://m.media-amazon.com/images/M/MV5BMjkwNDM4NzI5OF5BMl5BanBnXkFtZTYwMTg2NzQ5._V1_.jpg
2,Olivia,Jacqueline Audry,1951,88,Comédie,Drame,,"""Olivia"" capture les passions éveillées d'une adolescente anglaise envoyée pendant un an dans une petite école de fin d'études en dehors de Paris. Olivia, innocente mais vigilante, développe un engouement pour sa directrice, Mlle. Julie, et à travers cet écran d'amour observe la romance tendue entre Mlle. Julie et l'autre directrice de l'école, Mlle. Cara, dans ses derniers mois.",2.73,https://m.media-amazon.com/images/M/MV5BZTcxMjc0ODItMjEyNi00OTQ4LWE3ZjYtYzkxN2FiMjg0NWE3XkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_.jpg
3,Casque d'or,Jacques Becker,1952,94,Crime,Drame,Romance,"L'ancien détenu Georges Manda revient dans le monde libre, déterminé à aller droit au but et prend un emploi stable de menuisier. Incapable de rompre complètement ses liens avec la clandestinité, il rencontre un ancien camarade de prison, le gangster plus âgé Félix Leca, qui lui présente sa maîtresse, la douce mais réservée Marie ""Casque d'Or"". Marie et Georges entament une relation passionnée, poussant Félix à tout faire pour ruiner le couple.",5.532,https://m.media-amazon.com/images/M/MV5BZjdiM2ViYTAtNTIwYS00NjE2LWFjNzktYmI0OTIzMGMxZTAzXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_.jpg
4,Jeux interdits,René Clément,1952,86,Comédie,Drame,Guerre,"Orpheline après un raid aérien nazi, Paulette, une jeune Parisienne, rencontre Michel, un paysan plus âgé, et les deux se rapprochent rapidement. Ensemble, ils tentent de donner un sens au monde chaotique et en ruine qui les entoure, tentant de faire face à la mort tout en créant un lieu de sépulture pour le chien décédé de Paulette. Mais finalement, le séjour de Paulette auprès de la famille de Michel est menacé par les dures réalités de la guerre.",8.56,https://m.media-amazon.com/images/M/MV5BMzAyNzgxODgxM15BMl5BanBnXkFtZTgwODEzOTgwMzE@._V1_.jpg
5,Die Vier im Jeep,Leopold Lindtberg,1951,80,Drame,,,"Les alliés soviétiques, britanniques, français et américains patrouillent dans la Vienne d’après-guerre.",0.776,https://m.media-amazon.com/images/M/MV5BNGU3NGQxODItMjYzOS00ODdjLTk2ZDMtYWI5ZmY4NmQ3MTk5XkEyXkFqcGdeQXVyMTE5MTEzODI0._V1_.jpg
6,Crin blanc: Le cheval sauvage,Albert Lamorisse,1953,47,Aventure,Drame,Famille,"Dans le sud de la France, dans une vaste région de plaine appelée Camargue, vit Crinière Blanche, magnifique étalon et chef d'un troupeau de chevaux sauvages trop fiers pour se laisser briser par les humains. Seul Folco, un jeune pêcheur, parvient à l'apprivoiser. Une forte amitié naît entre le garçon et le cheval, alors que tous deux partent à la recherche de la liberté que le monde des hommes ne leur permet pas.",4.211,https://m.media-amazon.com/images/M/MV5BZDEwODRhZDUtZGEwNC00M2EzLThlMGUtMDAwZDgyY2NjOThlXkEyXkFqcGdeQXVyNzI4MDMyMTU@._V1_.jpg
7,Fanfan la tulipe,Christian-Jaque,1952,102,Aventure,Comédie,Romance,"Fanfan est un jeune et beau paysan. Il rejoint l'armée pour échapper au mariage parce qu'une gitane lui a prédit qu'il obtiendrait la gloire et la fille du roi comme épouse. Mais la gitane était en réalité Adeline, la fille du recruteur. Une fois qu'il a découvert le stratagème, Fanfan refuse d'oublier ce rêve et décide d'accomplir le destin de la fausse prédiction.",6.749,https://m.media-amazon.com/images/M/MV5BOWI0ZmRhNzQtOWViYi00MDgyLWE3ZTktNWVlZjNiMDJmMTdjXkEyXkFqcGdeQXVyNzI4MDMyMTU@._V1_.jpg
8,La petite Aurore l'enfant martyre,Jean-Yves Bigras,1952,102,Biographie,Drame,,"Une petite fille est témoin de la mort de sa mère, tuée expressément par négligence par la femme qui était censée soigner la mère invalide. La nourrice complice épouse à son tour le père de l'enfant, prenant ainsi la place de la morte et devenant la belle-mère de la petite fille. Après avoir imprudemment révélé à la belle-mère qu'elle connaissait la raison de la mort de sa mère ; Arore est maltraitée par sa belle-mère qui espère qu'en torturant l'enfant, elle pourra la faire taire. Le père, absent pendant la journée pour cultiver la terre, ferme les yeux ou refuse de croire que sa nouvelle épouse est violente lorsqu'il est confronté à la vue de son misérable enfant brûlé et battu.",1.641,https://m.media-amazon.com/images/M/MV5BNDMxNTQxMzMtZTgxOS00YThkLWFiNTktMjI0ZTFjNzU4NjcyXkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_.jpg
9,Le Plaisir,Max Ophüls,1952,97,Comédie,Drame,Romance,Trois histoires sur le plaisir. Le premier est celui d'un homme qui cache son âge derrière un masque pour continuer à aller aux bals et à avoir envie de femmes - de plaisir et de jeunesse. Vient ensuite la longue histoire de Mme Tellier emmenant ses filles (putes) à la campagne pour assister à la communion de sa nièce - plaisir et pureté. Et enfin Jean le peintre tombant amoureux de son modèle - le plaisir et la mort.,5.703,https://m.media-amazon.com/images/M/MV5BYzc5M2QwMmYtMWE4Yi00OTNiLWJmNTYtOTAyYzJmMjNkZGFlXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_.jpg
10,Le retour de Don Camillo,Julien Duvivier,1953,115,Comédie,,,Le prêtre énergique Don Camillo revient dans la ville de Brescello pour des duels plus politiques et personnels avec le maire communiste Peppone.,4.922,https://m.media-amazon.com/images/M/MV5BMGIwNzZjZWQtYTYwMi00MThlLWI3ZmMtOWVmZmFjMTA2MzQ2XkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_.jpg
11,Quand tu liras cette lettre...,Jean-Pierre Melville,1953,104,Drame,,,"Lorsqu'une religieuse novice apprend la mort subite de ses parents, elle quitte le couvent pour gérer l'entreprise familiale et s'occuper de sa sœur adolescente. Tous deux deviennent la proie d'un mécanicien coureur de jupons aux tendances psychopathes.",0.6,https://m.media-amazon.com/images/M/MV5BNmRhMWFkMTMtZmE1YS00NWM4LTg1MGMtMjg0YjNhMWJkZTA4XkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_.jpg
12,Madame de...,Max Ophüls,1953,105,Drame,Romance,,"Dans la France de la fin du XIXe siècle, l'épouse d'un riche général, la comtesse Louise, vend les boucles d'oreilles que son mari lui a offertes le jour de leur mariage pour payer ses dettes ; elle prétend les avoir perdus. Son mari apprend rapidement la tromperie, ce qui est le début de nombreux malentendus tragiques, impliquant tous les boucles d'oreilles, le général, la comtesse et son nouvel amant, le baron italien Donati.",6.624,https://m.media-amazon.com/images/M/MV5BZmJmZDFhYjAtMTMwMS00ZTNkLWFkMTgtZjkyZWNkODVhNDI3XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_.jpg
13,Le salaire de la peur,Henri-Georges Clouzot,1953,131,Aventure,Drame,Thriller,"Dans une ville sud-américaine délabrée, quatre hommes sont payés pour conduire des camions chargés de nitroglycérine dans la jungle jusqu'au champ pétrolier. Les amitiés sont mises à l’épreuve et les rivalités se développent à mesure qu’ils se lancent dans ce périlleux voyage.",9.529,https://m.media-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg
14,Touchez pas au grisbi,Jacques Becker,1954,96,Crime,Drame,,"Le gentleman gangster Max et son partenaire, Riton, réussissent leur dernier braquage, le plus réussi, et se retrouvent suffisamment à l'aise pour prendre leur retraite dans le style qu'ils apprécient. Cependant, Max confie les détails du vol à sa jeune maîtresse, Josey, qui s'est secrètement liée avec un jeune gangster rival ambitieux, Angelo. Angelo fait alors kidnapper Riton et exige la réserve d'or en rançon, ce qui menace les rêves de retraite parfaite de Max.",9.584,https://m.media-amazon.com/images/M/MV5BYmIwZTczNzgtODk0NC00YjFkLTkzZDctMzAzMDdjOTE5MWZlXkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_.jpg
15,Les vacances de Monsieur Hulot,Jacques Tati,1953,83,Comédie,,,"Monsieur Hulot, le clown attachant de Jacques Tati, part en vacances dans une station balnéaire, où sa présence provoque catastrophe après catastrophe. Le chef-d’œuvre de Tati en matière de slapstick doux est une série de gags visuels bien chorégraphiés sans effort impliquant des chiens, des bateaux et des pétards ; c'était le premier opus de la série Hulot et le film qui a propulsé son réalisateur vers la célébrité internationale.",8.484,https://m.media-amazon.com/images/M/MV5BMTg5NDE0OTg5MF5BMl5BanBnXkFtZTgwNDE3ODYxMTE@._V1_.jpg
